GameID,TournamentName,StartDate,EndDate,City,Country,TeamPlay,TotalUSDPrize,Game,Year
23980,PGL Major Kraków 2017,7/16/2017,7/23/2017,Kraków,Poland,1,1000000,CSGO,2017
28789,PUBG Global Invitational 2018 (FPP),7/28/2018,7/29/2018,Berlin,Germany,1,1000000,PUBG,2018
28744,PUBG Global Invitational 2018 (TPP),7/25/2018,7/26/2018,Berlin,Germany,1,1000000,PUBG,2018
25897,ROG DreamLeague Season 8,12/1/2017,12/3/2017,N/A,Sweden,1,1000000,Dota 2,2017
16337,Smite World Championship 2016,1/7/2016,1/1/2016,Atlanta,United States,1,1000000,Smite,2016
21518,Smite World Championship 2017,1/5/2017,1/8/2017,Atlanta,United States,1,1000000,Smite,2017
37654,StarLadder Berlin Major 2019,8/23/2019,9/8/2019,Berlin,Germany,1,1000000,CSGO,2019
27094,The Bucharest Major 2018,3/4/2018,3/11/2018,Bucharest ,Romania,1,1000000,Dota 2,2018
33006,The Chongqing Major 2019,1/19/2019,1/27/2019,Chongqing,China,1,1000000,Dota 2,2019
30632,The Kuala Lumpur Major 2018,11/9/2018,11/18/2018,Kuala Lumpur,Malaysia,1,1000000,Dota 2,2018
41945,Fortnite Champion Series - Chapter 2 - Season 1 - Gbrand Finals: Europe,12/8/2019,12/8/2019,N/A,Online,1,919200,Fortnite,2019
30895,CrossFire Stars 2018,12/4/2018,12/9/2018,Nankin,China,1,900000,Crossfire,2018
33365,WESG 2018 (CS:GO Male),3/11/2019,3/17/2019,Chongqing,China,1,890000,CSGO,2019
33303,WESG 2018 (Dota 2),3/7/2019,3/10/2019,Chongqing,China,1,890000,Dota 2,2019
25917,Crossfire Stars 2017 Grand Final,12/1/2017,12/3/2017,Xi'an,China,1,850000,Crossfire,2017
42498,The Nexus Arabia 2019 Main Event,12/5/2019,12/7/2019,N/A,Saudi Arabia,1,850000,LOL,2019
40355,CrossFire Stars 2019,12/7/2019,12/14/2019,Taicang,China,1,820000,Crossfire,2019
35454,Fortnite World Cup 2019 - Week 10 - Europe,6/20/2019,6/21/2019,N/A,Online,1,800000,Fortnite,2019
35228,Fortnite World Cup 2019 - Week 9 - Europe,6/8/2019,6/9/2019,N/A,Online,0,800000,Fortnite,2019
26478,Smite World Championship 2018,1/3/2018,1/7/2018,Atlanta,United States,1,785000,Smite,2018
18847,Esports Championship Series Season 1 - Finals,6/24/2016,6/26/2016,London,United Kingdom,1,765000,CSGO,2016
45325,PUBG Mobile Global Championship Season 0 - League Stage,11/24/2020,12/20/2020,N/A,United Arab Emirates/Maldives/Online,1,764000,PUBG,2020
37942,Fortnite Champion Series - Season X - NAE - Finals,9/20/2019,9/22/2019,N/A,Online,1,756000,Fortnite,2019
23495,ESL Pro League S5 Finals,5/30/2017,6/4/2017,Dallas,United States,1,750000,Dota 2,2017
46189,ESL Pro League Season 13,3/8/2021,4/11/2021,N/A,Online,1,750000,Dota 2,2021
26072,ESL Pro League Season 6 Finals,12/5/2017,12/10/2017,Odense,Denmark,1,750000,Dota 2,2017
27867,ESL Pro League Season 7 - Finals,5/15/2018,5/20/2018,Dallas,United States,1,750000,Dota 2,2018
30868,ESL Pro League Season 8 - Finals,12/4/2018,12/9/2018,Odense,Denmark,1,750000,Dota 2,2018
44638,F1 Esports Pro Series 2020,10/14/2020,12/17/2020,N/A,Online,1,750000,F1,2020
35466,Mythic Championship III 2019,6/21/2019,6/23/2019,Las Vegas,United States,0,750000,Magic,2019
40611,Mythic Championship VII 2019,12/6/2019,12/8/2019,Long Beach,United States,0,750000,Magic,2019
44383,Clash of Clans World Championship 2020,11/27/2020,11/29/2020,N/A,Online,1,730000,Clash of Clans,2020
30358,Fortnite Fall Skirmish Series - Week 6 - Stream-Vitbational,10/28/2018,10/28/2018,San José,United States,0,730000,Fortnite,2018
38867,Clash of Clans World Championship 2019,10/25/2019,10/27/2019,Hamburg,Germany,1,700000,Clash of Clans,2019
23387,CWL Global Pro League 2017 - Stage 1,4/21/2017,5/28/2017,Columbus,United States,1,700000,COD,2017
24043,CWL Global Pro League 2017 - Stage 2,6/30/2017,7/30/2017,Columbus,United States,1,700000,COD,2017
27380,CWL Pro League 2018 - Stage 1,1/23/2018,4/9/2018,Columbus,United States,1,700000,COD,2018
28807,CWL Pro League 2018 - Stage 2,5/15/2018,7/29/2018,Columbus,United States,1,700000,COD,2018
21485,Dota2 Professional League Season 2 - Top,9/2/2016,12/31/2016,N/A,Online,1,700000,Dota 2,2016
25380,WCS 2017 Global Finals,10/27/2017,11/4/2017,Anaheim,United States,0,700000,StarCraft,2017
30417,WCS 2018 Global Finals,10/26/2018,11/3/2018,Anaheim,United States,0,700000,StarCraft,2018
38849,WCS 2019 Global Finals,10/24/2019,11/1/2019,Anaheim,United States,0,700000,StarCraft,2019
45965,FNCS Chapter 2 Season 5 NA East Grand Finals,3/13/2021,3/14/2021,N/A,Online,0,691800,Fortnite,2021
15987,World Cyber Arena 2015 (Dota 2),12/17/2015,12/20/2015,Yinchuan,China,1,677284.4,Dota 2,2015
20896,Esports Championship Series Season 2 - Finals,12/9/2016,12/11/2016,Anaheim,United States,1,660000,CSGO,2016
